"TIME","GEO","GEO_LABEL","AGE","UNIT","SEX","Value"
"2007","TR","Turkey","Total","Percentage of active population","Total","9.1"
"2008","BE","Belgium","Total","Percentage of active population","Total","7.0"
"2008","BG","Bulgaria","Total","Percentage of active population","Total","5.6"
"2008","CZ","Czech Republic","Total","Percentage of active population","Total","4.4"
"2008","DK","Denmark","Total","Percentage of active population","Total","3.4"
"2008","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","7.4"
"2008","EE","Estonia","Total","Percentage of active population","Total","5.5"
"2008","IE","Ireland","Total","Percentage of active population","Total","6.4"
"2008","EL","Greece","Total","Percentage of active population","Total","7.8"
"2008","ES","Spain","Total","Percentage of active population","Total","11.3"
"2008","FR","France","Total","Percentage of active population","Total","7.4"
"2008","HR","Croatia","Total","Percentage of active population","Total","8.6"
"2008","IT","Italy","Total","Percentage of active population","Total","6.7"
"2008","CY","Cyprus","Total","Percentage of active population","Total","3.7"
"2008","LV","Latvia","Total","Percentage of active population","Total","7.7"
"2008","LT","Lithuania","Total","Percentage of active population","Total","5.8"
"2008","LU","Luxembourg","Total","Percentage of active population","Total","4.9"
"2008","HU","Hungary","Total","Percentage of active population","Total","7.8"
"2008","MT","Malta","Total","Percentage of active population","Total","6.0"
"2008","NL","Netherlands","Total","Percentage of active population","Total","3.7"
"2008","AT","Austria","Total","Percentage of active population","Total","4.1"
"2008","PL","Poland","Total","Percentage of active population","Total","7.1"
"2008","PT","Portugal","Total","Percentage of active population","Total","8.8"
"2008","RO","Romania","Total","Percentage of active population","Total","5.6"
"2008","SI","Slovenia","Total","Percentage of active population","Total","4.4"
"2008","SK","Slovakia","Total","Percentage of active population","Total","9.6"
"2008","FI","Finland","Total","Percentage of active population","Total","6.4"
"2008","SE","Sweden","Total","Percentage of active population","Total","6.2"
"2008","UK","United Kingdom","Total","Percentage of active population","Total","5.6"
"2008","IS","Iceland","Total","Percentage of active population","Total","3.0"
"2008","NO","Norway","Total","Percentage of active population","Total","2.5"
"2008","TR","Turkey","Total","Percentage of active population","Total","10.0"
"2009","BE","Belgium","Total","Percentage of active population","Total","7.9"
"2009","BG","Bulgaria","Total","Percentage of active population","Total","6.8"
"2009","CZ","Czech Republic","Total","Percentage of active population","Total","6.7"
"2009","DK","Denmark","Total","Percentage of active population","Total","6.0"
"2009","DE","Germany (until 1990 former territory of the FRG)","Total","Percentage of active population","Total","7.6"
"2009","EE","Estonia","Total","Percentage of active population","Total","13.5"
"2009","IE","Ireland","Total","Percentage of active population","Total","12.0"
"2009","EL","Greece","Total","Percentage of active population","Total","9.6"
"2009","ES","Spain","Total","Percentage of active population","Total","17.9"
"2009","FR","France","Total","Percentage of active population","Total","9.1"
"2009","HR","Croatia","Total","Percentage of active population","Total","9.3"
"2009","IT","Italy","Total","Percentage of active population","Total","7.7"
"2009","CY","Cyprus","Total","Percentage of active population","Total","5.4"
"2009","LV","Latvia","Total","Percentage of active population","Total","17.5"
"2009","LT","Lithuania","Total","Percentage of active population","Total","13.8"
"2009","LU","Luxembourg","Total","Percentage of active population","Total","5.1"
"2009","HU","Hungary","Total","Percentage of active population","Total","10.0"
"2009","MT","Malta","Total","Percentage of active population","Total","6.9"
"2009","NL","Netherlands","Total","Percentage of active population","Total","4.4"
"2009","AT","Austria","Total","Percentage of active population","Total","5.3"
"2009","PL","Poland","Total","Percentage of active population","Total","8.1"
"2009","PT","Portugal","Total","Percentage of active population","Total","10.7"
